slug,url,name,price,area,rooms,build_year,utilities,location,location_lat,location_lon,heating,floor,building_floors,state,market,ownership,ad_type,collage,scrapped_date,luxury_level
10-minut-spacerem-do-wawelu-ID4vl9p,https://www.otodom.pl/pl/oferta/10-minut-spacerem-do-wawelu-ID4vl9p,10 minut spacerem do Wawelu,1490000.0,74.5,3,,"['meble', 'balkon', 'piwnica', 'garaż/miejsce parkingowe']","['Dębniki', 'Dębniki', 'Kraków', 'małopolskie']",50.0501837,19.9295624,,floor_1,4.0,ready_to_use,secondary,full_ownership,business,otodom_photos/10-minut-spacerem-do-wawelu-ID4vl9p/10-minut-spacerem-do-wawelu-ID4vl9p_collage.jpg,2025-05-31,5.0
przestronne-sloneczne-3p-z-aneksem-po-remoncie-ID4waOM,https://www.otodom.pl/pl/oferta/przestronne-sloneczne-3p-z-aneksem-po-remoncie-ID4waOM,"Przestronne, słoneczne 3p z aneksem. Po remoncie.",919000.0,62.86,3,1982.0,[],"['Ruczaj', 'Dębniki', 'Kraków', 'małopolskie']",50.03123,19.91788,,floor_4,4.0,,secondary,full_ownership,business,otodom_photos/przestronne-sloneczne-3p-z-aneksem-po-remoncie-ID4waOM/przestronne-sloneczne-3p-z-aneksem-po-remoncie-ID4waOM_collage.jpg,2025-05-31,8.0
podgorze-mieszkanie-2-pokojowe-z-miejscem-postojowym-ID4vDzl,https://www.otodom.pl/pl/oferta/podgorze-mieszkanie-2-pokojowe-z-miejscem-postojowym-ID4vDzl,Podgórze - Mieszkanie 2-pokojowe z miejscem postojowym!,570000.0,38.68,2,2024.0,"['internet', 'telewizja kablowa', 'telefon', 'domofon / wideofon', 'balkon', 'garaż/miejsce parkingowe', 'winda']","['Piaski Wielkie', 'Podgórze Duchackie', 'Kraków', 'małopolskie']",50.0116275,19.975527,urban,floor_1,7.0,to_completion,secondary,full_ownership,business,otodom_photos/podgorze-mieszkanie-2-pokojowe-z-miejscem-postojowym-ID4vDzl/podgorze-mieszkanie-2-pokojowe-z-miejscem-postojowym-ID4vDzl_collage.jpg,2025-05-31,5.0
1-pok-sloneczne-ruczaj-ID4vzcp,https://www.otodom.pl/pl/oferta/1-pok-sloneczne-ruczaj-ID4vzcp,"1-pok, słoneczne, Ruczaj",498000.0,32.0,1,2004.0,"['telewizja kablowa', 'internet', 'teren zamknięty', 'klimatyzacja', 'balkon', 'garaż/miejsce parkingowe', 'oddzielna kuchnia']","['Ruczaj', 'Dębniki', 'Kraków', 'małopolskie']",50.011936,19.9074,boiler_room,floor_3,3.0,ready_to_use,secondary,full_ownership,business,otodom_photos/1-pok-sloneczne-ruczaj-ID4vzcp/1-pok-sloneczne-ruczaj-ID4vzcp_collage.jpg,2025-05-31,6.0
sloneczne-1-pokojowe-w-atrakcyjnej-lokalizacji-ID4vzd0,https://www.otodom.pl/pl/oferta/sloneczne-1-pokojowe-w-atrakcyjnej-lokalizacji-ID4vzd0,"SłOneczne, 1-Pokojowe W Atrakcyjnej Lokalizacji",499000.0,26.32,1,2002.0,"['telewizja kablowa', 'internet', 'system alarmowy', 'balkon', 'winda']","['Krowodrza Górka', 'Prądnik Biały', 'Kraków', 'małopolskie']",50.084119,19.93446,urban,floor_5,16.0,ready_to_use,secondary,full_ownership,business,otodom_photos/sloneczne-1-pokojowe-w-atrakcyjnej-lokalizacji-ID4vzd0/sloneczne-1-pokojowe-w-atrakcyjnej-lokalizacji-ID4vzd0_collage.jpg,2025-05-31,-1.0
2-niezalezne-pokoje-wola-duchacka-duzo-swiatla-ID4wXFx,https://www.otodom.pl/pl/oferta/2-niezalezne-pokoje-wola-duchacka-duzo-swiatla-ID4wXFx,2 niezależne pokoje/Wola Duchacka/duzo światła,659000.0,47.53,2,1980.0,"['balkon', 'piwnica', 'winda', 'oddzielna kuchnia']","['Wola Duchacka', 'Podgórze Duchackie', 'Kraków', 'małopolskie']",50.014913,19.96185,urban,floor_2,10.0,ready_to_use,secondary,full_ownership,business,otodom_photos/2-niezalezne-pokoje-wola-duchacka-duzo-swiatla-ID4wXFx/2-niezalezne-pokoje-wola-duchacka-duzo-swiatla-ID4wXFx_collage.jpg,2025-05-31,6.0
kurdwanow-duze-ustawne-2-pokojowe-parter-ID4vt4t,https://www.otodom.pl/pl/oferta/kurdwanow-duze-ustawne-2-pokojowe-parter-ID4vt4t,"Kurdwanów. Duże, ustawne. 2-pokojowe. Parter.",580000.0,52.3,2,,"['internet', 'telewizja kablowa', 'telefon', 'domofon / wideofon', 'meble', 'pralka', 'lodówka', 'kuchenka', 'piekarnik', 'balkon', 'pom. użytkowe', 'piwnica', 'oddzielna kuchnia']","['Kurdwanów', 'Podgórze Duchackie', 'Kraków', 'małopolskie']",50.011418742108,19.95951270741,urban,ground_floor,5.0,ready_to_use,secondary,limited_ownership,business,otodom_photos/kurdwanow-duze-ustawne-2-pokojowe-parter-ID4vt4t/kurdwanow-duze-ustawne-2-pokojowe-parter-ID4vt4t_collage.jpg,2025-05-31,4.0
4-pokoje-64m-hala-garazowa-komorka-duzy-balkon-wysoki-standard-ID4vzOt,https://www.otodom.pl/pl/oferta/4-pokoje-64m-hala-garazowa-komorka-duzy-balkon-wysoki-standard-ID4vzOt,"4 pokoje 64m, hala garażowa, komórka, duży balkon, wysoki standard",1168000.0,64.0,4,2021.0,"['internet', 'telewizja kablowa', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'monitoring / ochrona', 'teren zamknięty', 'zmywarka', 'lodówka', 'kuchenka', 'piekarnik', 'balkon', 'pom. użytkowe', 'garaż/miejsce parkingowe', 'winda']","['Bieżanów', 'Bieżanów-Prokocim', 'Kraków', 'małopolskie']",50.015821620059,20.027909278362,urban,floor_3,3.0,ready_to_use,secondary,full_ownership,private,otodom_photos/4-pokoje-64m-hala-garazowa-komorka-duzy-balkon-wysoki-standard-ID4vzOt/4-pokoje-64m-hala-garazowa-komorka-duzy-balkon-wysoki-standard-ID4vzOt_collage.jpg,2025-05-31,8.0
taras-na-dachu-ogrodek-70m2-0-prowizji-ID4vngg,https://www.otodom.pl/pl/oferta/taras-na-dachu-ogrodek-70m2-0-prowizji-ID4vngg,Taras na dachu! Ogródek 70m2! 0% prowizji,995000.0,84.7,4,2025.0,"['internet', 'system alarmowy', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'teren zamknięty', 'balkon', 'ogródek', 'garaż/miejsce parkingowe', 'pom. użytkowe', 'taras']","['Tonie', 'Prądnik Biały', 'Kraków', 'małopolskie']",50.12134,19.90215,,floor_1,1.0,to_completion,primary,full_ownership,business,otodom_photos/taras-na-dachu-ogrodek-70m2-0-prowizji-ID4vngg/taras-na-dachu-ogrodek-70m2-0-prowizji-ID4vngg_collage.jpg,2025-05-31,-1.0
heila-7-ID4v4Hx,https://www.otodom.pl/pl/oferta/heila-7-ID4v4Hx,Heila 7,568733.0,,0,,"['Miejsce parkingowe podziemne', 'Balkon', 'Taras', 'Piwnica', 'Komórki lokatorskie', 'Windy']","['Wola Duchacka', 'Podgórze Duchackie', 'Kraków', 'małopolskie']",50.02145,19.9595,,,,,primary,,business,otodom_photos/heila-7-ID4v4Hx/heila-7-ID4v4Hx_collage.jpg,2025-05-31,6.0
